"claim","cohort","metric","exact_value","manuscript_value","source_file","scientific_role"
"Canonical label-free delivery","TCGA-LGG","Mean Dice","0,7892658976023633","0.789","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/candidate_pool/summary.json","Development"
"Canonical pool ceiling","TCGA-LGG","Oracle mean Dice","0,8722055352837654","0.8722","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/candidate_pool/summary.json","Retrospective capacity"
"Canonical selection gap","TCGA-LGG","Mean Dice gap","0,08293963768140215","0.0829","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/candidate_pool/summary.json","Retrospective diagnosis"
"Localization success","TCGA-LGG","Cases","106","106/110","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/lbs_error_decomposition/summary.json","LBS"
"Boundary representable","TCGA-LGG","Cases","103","103/110","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/lbs_error_decomposition/summary.json","LBS"
"Selection failures among representable","TCGA-LGG","Cases","16","16/103","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/lbs_error_decomposition/summary.json","LBS"
"Saturation ceiling","TCGA-LGG","Oracle mean Dice","0,9055262127735026","0.9055","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/candidate_ceiling_saturation/summary.json","Retrospective capacity"
"Saturation gain","TCGA-LGG","Paired mean Dice","0,033320677489737216","0.0333","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/candidate_ceiling_saturation/summary.json","Retrospective capacity"
"Weak-boundary association","TCGA-LGG","Spearman rho","-0,5372342344021559","-0.537","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/cross_cohort_boundary_ceiling/summary.json","Mechanism association"
"Weak-boundary association","UCSF-PDGM G2-3","Spearman rho","-0,4376588599889506","-0.438","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/cross_cohort_boundary_ceiling/summary.json","External replication"
"Weak-boundary association","BraTS 2023 GLI","Spearman rho","-0,4670740336449599","-0.467","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/cross_cohort_boundary_ceiling/summary.json","Stress-test replication"
"ROI-gated delivery","TCGA-LGG","Mean Dice","0,8180439807430702","0.818","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/roi_full_metrics/tcga_lgg_summary.json","Secondary development"
"ROI-gated zero failures","TCGA-LGG","Cases","2","2/110","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/roi_full_metrics/tcga_lgg_summary.json","Secondary development"
"Frozen external validation","UCSF-PDGM G2-3","Mean Dice","0,7124392349835468","0.712","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/ucsf_lower_grade/ucsf_lower_grade_summary.json","Independent external validation"
"Cross-grade stress test","BraTS 2023 GLI","Mean Dice","0,8227410742656524","0.823","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/brats2023_stress_test/brats2023_summary.json","Stress test"
"Traversal-only delivery","TCGA-LGG","Mean Dice","0,7892658976023633","0.789","finsler_tcga_lgg_candidate_selection_study\results\pure_flair_p1_corrected_finsler/channel_ablation_frozen/summary.json","Matched channel ablation"
