recall_threshold,oracle_threshold,gap_threshold,n_L,n_B,n_S,n_C
0.4,0.6,0.05,3,4,19,84
0.4,0.6,0.1,3,4,16,87
0.4,0.6,0.15,3,4,16,87
0.4,0.7,0.05,3,4,19,84
0.4,0.7,0.1,3,4,16,87
0.4,0.7,0.15,3,4,16,87
0.4,0.8,0.05,3,11,15,81
0.4,0.8,0.1,3,11,12,84
0.4,0.8,0.15,3,11,12,84
0.5,0.6,0.05,4,3,19,84
0.5,0.6,0.1,4,3,16,87
0.5,0.6,0.15,4,3,16,87
0.5,0.7,0.05,4,3,19,84
0.5,0.7,0.1,4,3,16,87
0.5,0.7,0.15,4,3,16,87
0.5,0.8,0.05,4,10,15,81
0.5,0.8,0.1,4,10,12,84
0.5,0.8,0.15,4,10,12,84
0.6,0.6,0.05,5,2,19,84
0.6,0.6,0.1,5,2,16,87
0.6,0.6,0.15,5,2,16,87
0.6,0.7,0.05,5,2,19,84
0.6,0.7,0.1,5,2,16,87
0.6,0.7,0.15,5,2,16,87
0.6,0.8,0.05,5,9,15,81
0.6,0.8,0.1,5,9,12,84
0.6,0.8,0.15,5,9,12,84
