old_mask_inside_threshold,new_mask_inside_threshold,opened,mean_dice,mean_change,improved,worsened,worst_opened_change,large_opened,large_worsened,peripheral_opened,peripheral_worsened
0.55,0.4,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.55,0.45,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.55,0.5,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.55,0.55,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.55,0.6,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.6,0.4,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.6,0.45,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.6,0.5,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.6,0.55,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.6,0.6,4,0.8208776498289136,0.03161175222655033,4,0,0.7663190421011974,0,0,1,0
0.65,0.4,5,0.8180439807430702,0.028778083140706845,4,1,-0.31170359944279147,0,0,1,0
0.65,0.45,5,0.8180439807430702,0.028778083140706845,4,1,-0.31170359944279147,0,0,1,0
0.65,0.5,5,0.8180439807430702,0.028778083140706845,4,1,-0.31170359944279147,0,0,1,0
0.65,0.55,5,0.8180439807430702,0.028778083140706845,4,1,-0.31170359944279147,0,0,1,0
0.65,0.6,5,0.8180439807430702,0.028778083140706845,4,1,-0.31170359944279147,0,0,1,0
0.7,0.4,7,0.8137509146347781,0.02448501703241479,4,3,-0.31170359944279147,0,0,2,1
0.7,0.45,7,0.8137509146347781,0.02448501703241479,4,3,-0.31170359944279147,0,0,2,1
0.7,0.5,7,0.8137509146347781,0.02448501703241479,4,3,-0.31170359944279147,0,0,2,1
0.7,0.55,7,0.8137509146347781,0.02448501703241479,4,3,-0.31170359944279147,0,0,2,1
0.7,0.6,7,0.8137509146347781,0.02448501703241479,4,3,-0.31170359944279147,0,0,2,1
0.75,0.4,9,0.8154205421748417,0.026154644572478403,5,4,-0.31170359944279147,0,0,4,2
0.75,0.45,9,0.8154205421748417,0.026154644572478403,5,4,-0.31170359944279147,0,0,4,2
0.75,0.5,9,0.8154205421748417,0.026154644572478403,5,4,-0.31170359944279147,0,0,4,2
0.75,0.55,9,0.8154205421748417,0.026154644572478403,5,4,-0.31170359944279147,0,0,4,2
0.75,0.6,9,0.8154205421748417,0.026154644572478403,5,4,-0.31170359944279147,0,0,4,2
