case_id,gate_opened,dice,jaccard,sensitivity,precision,specificity,boundary_f1_at_2_px,assd_px,hd95_px,lesion_recall_at_iou_0_10,lesion_precision_at_iou_0_10,lesion_f1_at_iou_0_10,true_positive_pixels,false_positive_pixels,false_negative_pixels
TCGA_CS_4941_19960909_14,0,0.86960933536276,0.7692998204667864,0.8936392075078207,0.8468379446640316,0.992578879330982,0.695247873703833,2.6602048631382407,13.518192319053918,1.0,1.0,1.0,2571,465,306
TCGA_CS_4942_19970222_11,0,0.9567514031033344,0.9170886075949367,0.9415204678362573,0.9724832214765101,0.9993593449692955,0.9769534650150653,0.6930057090308545,2.0,1.0,1.0,1.0,1449,41,90
TCGA_CS_4943_20000902_17,0,0.9506578947368421,0.9059561128526645,0.9364873622812703,0.9652638610554443,0.9983346677341873,0.8887356666416848,1.1960704859339362,3.1622776601683795,1.0,1.0,1.0,2890,104,196
TCGA_CS_4944_20010208_10,0,0.9516636318490316,0.9077846202431707,0.9289061237679754,0.9755642287459698,0.9975735925994574,0.7208764445316204,1.5746611603663625,4.123105625617661,1.0,1.0,1.0,5749,144,440
TCGA_CS_5393_19990606_9,0,0.9648292188028407,0.9320483502123489,0.9745516652433818,0.9552988448016072,0.9955262143730835,0.8779942831837031,1.0477339960245342,5.004950975679635,1.0,1.0,1.0,5706,267,149
TCGA_CS_5395_19981004_13,0,0.9074837949322333,0.8306364617044228,0.9166666666666666,0.8984830805134189,0.9986552491653271,0.8679625629949603,1.0584462344455892,2.837005768508878,1.0,1.0,1.0,770,87,70
TCGA_CS_5396_20010302_15,0,0.9345556866660616,0.8771511330720736,0.9163403346386615,0.9535099092424523,0.9958109416202143,0.7605096819504366,2.246313460336303,13.879350611916808,1.0,1.0,1.0,5148,251,470
TCGA_CS_5397_20010315_10,0,0.38123935543036813,0.23551311103917125,0.9945317840054683,0.23581847649918963,0.9264120612426451,0.22489685310417223,18.688454711091122,60.0,1.0,1.0,1.0,1455,4715,8
TCGA_CS_6186_20000601_16,0,0.9355728252694911,0.8789448893075836,0.8975468975468975,0.9769633507853404,0.999306617079282,0.8796946188892993,1.366886255985366,11.302117787419789,1.0,1.0,1.0,1866,44,213
TCGA_CS_6188_20010812_15,0,0.9244712990936556,0.8595505617977528,0.9031877213695395,0.9467821782178217,0.9993352811142544,0.9763341464458425,0.6594983971218983,2.0,0.5,1.0,0.6666666666666666,765,43,82
TCGA_CS_6290_20000917_8,0,0.9634691195795007,0.9295131845841785,0.9443585780525502,0.9833690987124464,0.9995125402940482,0.9485306089221752,0.6485585433616672,2.8284271247461903,1.0,1.0,1.0,1833,31,108
TCGA_CS_6665_20010817_18,0,0.4630859375,0.30130893379082474,0.959919028340081,0.30514800514800516,0.9143912726350173,0.3054116806572602,28.724116469128614,97.23988700799153,1.0,1.0,1.0,2371,5399,99
TCGA_CS_6666_20011109_17,0,0.9276211950394588,0.8650126156433978,0.9765013054830287,0.8834013313291819,0.991145247297099,0.6482257613858621,3.483369640984003,15.952847075210475,1.0,1.0,1.0,4114,543,99
TCGA_CS_6667_20011105_13,0,0.9387875220718069,0.884636716583472,0.9036827195467422,0.9767299448867116,0.999404117859215,0.8885550561525508,1.0929399785685565,6.664341330616656,1.0,1.0,1.0,1595,38,170
TCGA_CS_6668_20011025_17,0,0.9411035337879727,0.8887587822014051,0.9411035337879727,0.9411035337879727,0.9985138369600927,0.9055790290592395,1.0159004123357114,4.070820393249926,1.0,1.0,1.0,1518,95,95
